raw_text,equipment_type,model,quantity,description
2 Additional Lighting Equipment 20,lighting,,,
"Venue Standard Configuration

Page 2     Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20 7 Sound ",lighting,"Venue Standard Configuration

Page 2     Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20",7,Sound 
" larger door and lack of permanent infrastructure within the wing area. PS access 
is slightly more restrictive with reduced clearance between anteroom and wing.  
Key Stage Access Dimensions Height Width 
A Doors from wings to stage (all 4) 2.20m 2.00m 
B Minimum clearance from anteroom to OP wing 2.20m 2.80m 
C Minimum clearance from anteroom to PS wing 2.20m 1.70m 
D Anteroom ceiling height 2.25m - 
E Height clearance to down stage doors 2.08m - 

Page 7 Technical and Production Information for the Concert Hall4 Venue Dimensions 
4.1 Plan Dimensions 
Dimension Details Distance 
A Depth of stage at centre line 12.30m 
B Depth of stage at centre line with stage extension 14.30m 
C Width of stage front 14.50m 
D Width between down-stage doors",lighting," larger door and lack of permanent infrastructure within the wing area. PS access 
is slightly more restrictive with reduced clearance between anteroom and wing.  
Key Stage Access Dimensions Height Width 
A Doors from wings to stage (all 4) 2.20m 2.00m 
B Minimum clearance from anteroom to OP wing 2.20m 2.80m 
C Minimum clearance from anteroom to PS wing 2.20m 1.70m 
D Anteroom ceiling height 2.25m - 
E Height clearance to down stage doors 2.08m - 

Page",7,"Technical and Production Information for the Concert Hall4 Venue Dimensions 
4.1 Plan Dimensions 
Dimension Details Distance 
A Depth of stage at centre line 12.30m 
B Depth of stage at centre line with stage extension 14.30m 
C Width of stage front 14.50m 
D Width between down-stage doors"
" 
installed as acoustic treatment as a part of 
amplified performances 
Vinyl Black or White 
General 
Furniture Card Table 830 x 830mm Square Top 
Trestle Table 1800 x 750 Top",lighting," 
installed as acoustic treatment as a part of 
amplified performances 
Vinyl Black or White 
General 
Furniture Card Table 830 x 830mm Square Top 
Trestle Table 1800 x",750,Top
"3m lengths 
Box Truss Limited quantity - various lengths 

Page 18 Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire charges",lighting,"3m lengths 
Box Truss Limited quantity - various lengths 

Page",18,"Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire charges"
" by prior arrangement. Electrical 
installations may only be performed by SOH staff and all requirements must be 
discussed in advance.  
6.1.4 Dimmers  
The CH has over 618 channels of 3kw dimming ",lighting," by prior arrangement. Electrical 
installations may only be performed by SOH staff and all requirements must be 
discussed in advance.  
6.1.4 Dimmers  
The CH has over",618,channels of 3kw dimming 
" 
there are over 350 channels available for temporary event overlay including 146 
channels on-stage level and 216 channels located within the lighting cable reelers. 

Page 19 Technical and Production Information for the Concert Hall6.1.5 Lighting Pods 
There are sixteen",lighting," 
there are over 350 channels available for temporary event overlay including 146 
channels on-stage level and 216 channels located within the lighting cable reelers. 

Page",19,"Technical and Production Information for the Concert Hall6.1.5 Lighting Pods 
There are sixteen"
" and any other notes.  
Position Equipment Details 
FOH Bridge 2 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting 
FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
Back Spots ETC Source4 LED Series 3 10 variable focus per side 
Cannon Ports MAC Encore Performance WRM  4 per side  
Lighting Pods ETC Pro Eight-Cell Fixed focus 
Lighting Pods SolaFrame Studio 1 per pod 
Crown Lighting LDOH005 INCAND AIR RGBAW 
Followspot Booth Robert Juliat Arthur LT LED Followspot 2 per side 
Organ Lighting LED strip Fixed focus 
6.1.8 House Lights 
The house lights are RGBAW LED fixtures which can emulate tungsten",lighting," and any other notes.  
Position Equipment Details 
FOH Bridge 2 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting 
FOH Bridge 3 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
FOH Bridge 4 Robert Juliat ZEP2 661SX profile spots Orchestra front lighting  
Back Spots ETC Source4 LED Series 3 10 variable focus per side 
Cannon Ports MAC Encore Performance WRM  4 per side  
Lighting Pods ETC Pro Eight-Cell Fixed focus 
Lighting Pods SolaFrame Studio 1 per pod 
Crown Lighting LDOH005 INCAND AIR RGBAW 
Followspot Booth Robert Juliat Arthur LT LED Followspot",2,"per side 
Organ Lighting LED strip Fixed focus 
6.1.8 House Lights 
The house lights are RGBAW LED fixtures which can emulate tungsten"
" but if required 
also provide the ability to change colour and isolate specific areas.  
6.1.9 Crown Lights 
The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide 
the ability to change colour. Due to the reflectors and lighting pods permanently hung in 
the venue these lights do not provide lighting for the stage platform and serve as 
architectural lighting elements that match the existing house lights.  

Page 20 Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment 
The following equipment is dedicated to the venue and can be utilised by your production 
at an additional cost",lighting," but if required 
also provide the ability to change colour and isolate specific areas.  
6.1.9 Crown Lights 
The crown lights are RGBAW LED fixtures which can emulate tungsten but also provide 
the ability to change colour. Due to the reflectors and lighting pods permanently hung in 
the venue these lights do not provide lighting for the stage platform and serve as 
architectural lighting elements that match the existing house lights.  

Page",20,"Technical and Production Information for the Concert Hall6.2 Additional Lighting Equipment 
The following equipment is dedicated to the venue and can be utilised by your production 
at an additional cost"
" 
Lamp Type Allocation 
 Martin Mac Viper Performance 8 
 Martin Mac Viper Profile 10 
 Martin Quantum Profile 18 
 Martin Quantum Wash 18 
 Martin Mac 101 CW 8 Additional lamp and effects stock are available upon request 
6.2.1 Followspots 
Four Robert Juliat Arthur LT  800W LED followspots with manual colour changers are 
permanently located above the dress circle in a dedicated followspot room.  
The angle to the down-stage edge of the stage is approximately 30",lighting," 
Lamp Type Allocation 
 Martin Mac Viper Performance 8 
 Martin Mac Viper Profile 10 
 Martin Quantum Profile 18 
 Martin Quantum Wash 18 
 Martin Mac 101 CW",8,"Additional lamp and effects stock are available upon request 
6.2.1 Followspots 
Four Robert Juliat Arthur LT  800W LED followspots with manual colour changers are 
permanently located above the dress circle in a dedicated followspot room.  
The angle to the down-stage edge of the stage is approximately 30"
" AV department has a range of playback options and switchers. SOH vision 
equipment is shared between all venues and its use in the CH is subject to availability 
and will incur additional charges. 
Equipment Model 
Switchers Barco Image Pro 
Blackmagic Design ATEM 2 M",lighting," AV department has a range of playback options and switchers. SOH vision 
equipment is shared between all venues and its use in the CH is subject to availability 
and will incur additional charges. 
Equipment Model 
Switchers Barco Image Pro 
Blackmagic Design ATEM",2,M
"Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20
7 2 Sound ",lighting,"Technical and Production Information for the Concert HallContents 
1 Introduction 3
1.1 List of Acronyms 3
2 Risk Management 4
3 Venue Access 5
3.1 Getting to Stage Level 5
3.2 Anteroom to Stage 6
4 Venue Dimensions 7
4.1 Plan Dimensions 7
4.2 Section Dimensions 8
4.3 Stage Surface 9
4.4 Stage Plans 9
4.5 Auditorium Seating 9
5 Staging 11
5.1 Stage Machinery 11
5.2 Acoustic Systems 13
5.3 Standard Venue Configuration 15
5.4 Standard Staging Equipment 16
5.5 Additional Staging Equipment 16
6 Lighting 18
6.1 Base Lighting Equipment 18
6.2 Additional Lighting Equipment 20
7",2,Sound 
"Stage Stairs 
Two up-stage automated stairs form part of the up-stage lift and provide access to the 
choir stalls. If access to the choir stalls is not 3 required",lighting,"Stage Stairs 
Two up-stage automated stairs form part of the up-stage lift and provide access to the 
choir stalls. If access to the choir stalls is not",3,required
"Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire 18 charges",lighting,"Technical and Production Information for the Concert Hall6 Lighting 
6.1 Base Lighting Equipment 
In addition to venue hire",18,charges
"Control 
Stage lighting is controlled by an ETC Gio console (located in the control room) with an 
ETC 1 Gio",lighting,"Control 
Stage lighting is controlled by an ETC Gio console (located in the control room) with an 
ETC",1,Gio
"Dimmers  
The CH has over 618 channels of 3kw 4 dimming ",lighting,"Dimmers  
The CH has over 618 channels of 3kw",4,dimming 
