manufacturer,model,quantity,equipment_type,venue
"Dimmers  
The CH has over",618 channels of,3.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Dimmers  
The CH has over",618 channels of 3kw,4.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Gio console,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,1 Gio,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Source4 LED Series 3,20.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Pro Eight-Cell,16.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Gio Console,1.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
High End,SolaFrame Studio,16.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,MAC Encore Performance WRM,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Performance,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Profile,10.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Profile,18.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Wash,18.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac 101 CW,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,ZEP2 661SX,6.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,Arthur LT LED Followspot,4.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Smoke and fog machines 
Two Unique haze machines are permanently installed in the",up-stage cannon port,2.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
