manufacturer,model,quantity,equipment_type,venue
DPA,DPA 4080 DPA 6066 Radio,66.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4061,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4080,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,6066,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
SSL,Live L650,1.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,KSM9 Shure Beta,58.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,SM58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,Beta 58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,QL1 desk behind Box U,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,QL1,1.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,microphone preamplifiers,144.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,Radio,8.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
