manufacturer,model,quantity,equipment_type,venue
"Dimmers  
The CH has over",618 channels of,3.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Dimmers  
The CH has over",618 channels of 3kw,4.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Gio console,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,1 Gio,,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Source4 LED Series 3,20.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Pro Eight-Cell,16.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Gio Console,1.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
High End,SolaFrame Studio,16.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,MAC Encore Performance WRM,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Performance,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Profile,10.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Profile,18.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Wash,18.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac 101 CW,8.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,ZEP2 661SX,6.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,Arthur LT LED Followspot,4.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Smoke and fog machines 
Two Unique haze machines are permanently installed in the",up-stage cannon port,2.0,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,DPA 4080 DPA 6066 Radio,66.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4061,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4080,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,6066,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
SSL,Live L650,1.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,KSM9 Shure Beta,58.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,SM58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,Beta 58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,QL1 desk behind Box U,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,QL1,1.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,microphone preamplifiers,144.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,Radio,8.0,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Barco,Image Pro,,video,SOHVenueTechnicalSpecifications ConcertHall202401
Blackmagic Design,ATEM,2.0,video,SOHVenueTechnicalSpecifications ConcertHall202401
Desk Unit,2 Portable with,3.0,video,SOHVenueTechnicalSpecifications ConcertHall202401
,4m (20ft x,,video,SOHVenueTechnicalSpecifications ConcertHall202401
,3ft) 16,9.0,video,SOHVenueTechnicalSpecifications ConcertHall202401
,ratio FastFold Video Monitors LCD,9.0,video,SOHVenueTechnicalSpecifications ConcertHall202401
