manufacturer,model,quantity,equipment_type,venue
ETC,Source4 LED Series 3,20,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Pro Eight-Cell,16,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
ETC,Gio Console,1,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
High End,SolaFrame Studio,16,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,MAC Encore Performance WRM,8,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Performance,8,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac Viper Profile,10,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Profile,18,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Quantum Wash,18,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Martin,Mac 101 CW,8,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,ZEP2 661SX,6,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Robert Juliat,Arthur LT LED Followspot,4,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
Unique,Haze Machine,2,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4061,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,4080,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,6066,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
SSL,Live L650,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,KSM9,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,SM58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,Beta 58,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,QL1,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Barco,Image Pro,,video,SOHVenueTechnicalSpecifications ConcertHall202401
Blackmagic Design,ATEM,2,video,SOHVenueTechnicalSpecifications ConcertHall202401
