manufacturer,model,quantity,equipment_type,venue
Additional Lighting,Equipment,20,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"m lengths 
Box Truss Limited quantity - various lengths 

Page",18 Technical and Production Information for the Concert Hall6 Lighting,6,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
with an,ETC,1,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Dimmers  
The CH has over",618 channels of 3kw,4,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
"Mixing Console - FOH Stalls 
Permanently installed SSL Live",L650 system comprising of,1,lighting,SOHVenueTechnicalSpecifications ConcertHall202401
V,Equipment,22,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Yamaha,up for this position is a Yamaha QL1 desk behind Box U,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Audio Visual,"21
7.1 Base Sound Equipment 21",7,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"there are three tie-off points 
at the back row of each","box. 

Page",13,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Flown audio subs removed,Page,16,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Individual XLR audio tie lines,and,96,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Fine,"66 
DPA 4061 
DPA 4080 
DPA",6066,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Shure,"KSM9 
Shure Beta",58,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Beyer and Neumann and 
offers a variety of packages to suit 
Additional Playback MacBook Pro running QLab",Page,24,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Base Sound Equipment,"21
7.2 Additional",21,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Technical and Production Information for the Concert,"Hall5.2 Acoustic Systems 
The CH has various sound",13,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Technical and Production Information for the Concert,Hall7,21,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Base Sound Equipment 
In addition to venue",hire,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Loudspeaker System 
The venue has",a,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Mixing Console - FOH Stalls 
Permanently installed SSL Live",L650 system comprising of,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
microphone,preamplifiers,144,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"seats must be removed from the stalls 
in rows W and","X. 
7.2.2 Mixing Console - Box",14,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Console,SSL,650,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Console 
Stage",Monitors,1,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,Radio,,sound,SOHVenueTechnicalSpecifications ConcertHall202401
DPA,"4061 
DPA 4080 
DPA 6066 
Radio",66,sound,SOHVenueTechnicalSpecifications ConcertHall202401
Technical and Production Information for the Concert,"Hall7.2.4 Video Replay 
The",24,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Projection and Video Monitors 
There are several options available for projector placement within",the,5,sound,SOHVenueTechnicalSpecifications ConcertHall202401
,"ratio FastFold 
Video Monitors LCD",9,sound,SOHVenueTechnicalSpecifications ConcertHall202401
"Console 
Stage",Monitors,1,video,SOHVenueTechnicalSpecifications ConcertHall202401
Additional Staging,5 Additional Staging Equipment,,video,SOHVenueTechnicalSpecifications ConcertHall202401
,4m (20ft x,,video,SOHVenueTechnicalSpecifications ConcertHall202401
,3ft) 16,,video,SOHVenueTechnicalSpecifications ConcertHall202401
,stage view in order to facilitate exits / entrances,,video,SOHVenueTechnicalSpecifications ConcertHall202401
"Projection and Video Monitors 
There are several options available for projector placement within",the,5,video,SOHVenueTechnicalSpecifications ConcertHall202401
,"ratio FastFold 
Video Monitors LCD",9,video,SOHVenueTechnicalSpecifications ConcertHall202401
"Temporary Show Relay 
Temporary show relay screens can be deployed around",the,4,video,SOHVenueTechnicalSpecifications ConcertHall202401
